counter,rawValue
0,-2048
1,1776
2,1747
3,1707
4,1788
5,1938
6,2047
7,2047
8,-2048
9,-2048
10,1730
11,1806
12,1811
13,1794
14,-2048
15,-285
16,-2048
17,1769
18,1873
19,1920
20,2047
21,-2048
22,-2048
23,2037
24,-2048
25,1792
26,1761
27,1956
28,1466
29,489
30,1890
31,2047
32,2047
33,-2048
34,1794
35,1992
36,2047
37,-2048
38,-2048
39,1815
40,1958
41,2047
42,-2048
43,1501
44,1794
45,1917
46,2047
47,2047
48,-2048
49,-2048
50,1691
51,1739
52,1853
53,1930
54,1993
55,2020
56,-2048
57,1808
